Title,Price,Currency,Location,URL
HP Pro X2 Tablet 612 G2 i5-7th Gen 8GB 256GB SSD - Keyboard and Pen Bundle.,199.99,GBP,GB,https://www.ebay.co.uk/itm/175735634310?_skw=laptop&hash=item28eaa8f986:g:S2AAAOSwcd9nRHTi&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8VuSeNhGJImzucA0TQnsHjIqkqfKERRBqF2EW8KckCW5zhdqAhUPwEQKFeplAP70efFOLr28oe6LNFJAc6HkkabtwNWRkwAHjsMOoOKR2DUbxC3kDQUG4tCCjYO2Ag0tXly%2BZITiXU4QLv2P0hwszFmwbn5kKLwSHE5ekHHnHof3IGCWuBZZbiVDCIk06%2Fxs2reyUI%2FuSw6cUJ9WBrYKSMKaVNR0q1P5XP%2Ftr2LTCOwhfCHYApCXxuMH0aW2LpGPqpqdk9LwG2AarguxTedSk6y
"Lenovo ThinkPad Windows 11 , 240GB SSD, Intel i5, 8GB Laptop - Same day dispatch",109.99,GBP,GB,https://www.ebay.co.uk/itm/267066440550?_skw=laptop&hash=item3e2e667b66:g:tKgAAOSwYR5nOKML&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8UoKZOJCsi5Mc8WcM%2FvGGr7%2FopNEJa1VTac4pNVbq%2BhdtibZsX4zAJqNQ3aaGgp1Lf4L4eJQ%2FQUWN1%2BffC0Lc9TkUrMS%2FjuRwFCnEk%2FgQQBUDmmqYJ8SY5YGW70OsfCvyjNUA7JRh52L3Vgq5gIYiW%2F8LdxEesctyCtg3SdRcwuL70MiiP790jpVU%2F3AJdalKIqp6KLQjg%2BSs1VV11DHdJ7Ot11y4sht%2FWt%2FV0f3ASrvQz5zEz0AakepbxvkQnuIU2P2bJIvLPLDFBwn6m2EAWN
FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE 16GB RAM 1TB SSD WEBCAM WI-FI.,179.99,GBP,GB,https://www.ebay.co.uk/itm/296767947980?_skw=laptop&hash=item4518bf84cc:g:0kcAAOSwLUlnF37z&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8Vzbn5Xp1IQosBySZgZXs6aekJfCtlFYgBv4h1BHv%2F8Et0gJJF6k07MX1MND6nxgOQ8xqGkDNbAztk1cs3m7HObBP1FoBh1x2OTPMvptgcgkYdb3g6OZSGfgxaIu1tceuijPWKPtitETKmZ%2Bax6DuHXvNz13Ox72oAYrDg1i73QxaXdT6kGoz2ADg5amMkRITCICcSa5eUIA3DdEDcnEroTVfmey68%2Fzd7YNbVFD3LoRYXs7FPDRxwSFcNBaKOkRUwpcPy0F8JZrjzfepAcUWNJ
Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI,159.99,GBP,GB,https://www.ebay.co.uk/itm/115777670869?_skw=laptop&hash=item1af4e30ed5:g:onIAAOSw17hk3WLf&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8WDKwuKWE6BgGN%2B69tBPJzavrgKeA1RAuwOd61Mp04gVRgZJPZan9rCqAm8PvkHKjXXrfVZg6qL9R0PP4Shv5VZqVitmrlgk%2BU7pLnCVFfbXhFNoJL%2F2SMgXlHDaqFlbC0JnHiMsWn3NI1iD7RjgWSmVco1KgI3fFqDcV12ts0kmRjIPM03%2FNMI0o%2BduBDPaQlIVnYD3L2yjDRM6yNxbdWLdxYiJbPGbHRwPcEDL4a90RsEDjtlhOiOEe187fFbjIM4vDT%2F04yb7OqOO6Xfmk7k
FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE 8GB RAM 120 GB SSD WEBCAM WI-FI.,79.99,GBP,GB,https://www.ebay.co.uk/itm/196870780075?_skw=laptop&hash=item2dd669b4ab:g:Gj8AAOSwQWlnT3UY
FAST CHEAP CORE i5 LAPTOP 1TB SSD 32GB RAM WARRANTY FREE WINDOWS 11 UPGRADE,139.99,GBP,GB,https://www.ebay.co.uk/itm/115873681077?_skw=laptop&hash=item1afa9c0eb5:g:jCwAAOSwGyxkxUwI
CHEAP FAST Laptop DELL Quad Core 2.6GHZ Windows 10 SSD 4K HDMI WIFI WEBCAM,89.99,GBP,GB,https://www.ebay.co.uk/itm/115722165505?_skw=laptop&hash=item1af1941d01:g:0XcAAOSwwF5kApuD
SUPER FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE I5 4/8/16GB RAM 1TB HDD SSD WEBCAM,99.99,GBP,GB,https://www.ebay.co.uk/itm/225764374306?_skw=laptop&hash=item34909af722:g:rNIAAOSwY09k-0X8
Acer Foldable 2-in-1 Chromebook R11 C738T-C7KD 11.6 inch Laptop 4GB RAM 16GB SSD,79.00,GBP,GB,https://www.ebay.co.uk/itm/394754224302?_skw=laptop&hash=item5be92f70ae:g:J7oAAOSwXSJkt7~-
"DELL 3490 WINDOWS 11 LAPTOP INTEL I5 14"" HD 8GB RAM 256GB SSD WEBCAM HDMI USB C",134.99,GBP,GB,https://www.ebay.co.uk/itm/156569774456?_skw=laptop&hash=item2474492978:g:VkkAAOSwLUZnVdaH
